date Thu Jun 17 8:36:23 am 2021
base hex  no internal events logged
// version 7.1.0
31154.986700 1 18FEEE03x Rx d 1 A9 
31155.985100 1 18FEEE03x Rx d 1 AA 
31156.983500 1 18FEEE03x Rx d 1 AB 
31157.981900 1 18FEEE03x Rx d 1 AC 
31158.980300 1 18FEEE03x Rx d 1 AD 
31159.978700 1 18FEEE03x Rx d 1 AE 
31160.977100 1 18FEEE03x Rx d 1 AF 
31162.001100 1 18FEEE03x Rx d 1 B0 
31162.999500 1 18FEEE03x Rx d 1 B1 
31163.997900 1 18FEEE03x Rx d 1 B2 
31164.996300 1 18FEEE03x Rx d 1 B3 
31166.020300 1 18FEEE03x Rx d 1 B4 
31167.018700 1 18FEEE03x Rx d 1 B5 
31168.017100 1 18FEEE03x Rx d 1 B6 
31169.015500 1 18FEEE03x Rx d 1 B7 
31170.013900 1 18FEEE03x Rx d 1 B8 
31171.012300 1 18FEEE03x Rx d 1 B9 
31172.010700 1 18FEEE03x Rx d 1 BA 
31173.034700 1 18FEEE03x Rx d 1 BB 
31174.033100 1 18FEEE03x Rx d 1 BC 
31175.031500 1 18FEEE03x Rx d 1 BD 
31176.029900 1 18FEEE03x Rx d 1 BE 
31177.028300 1 18FEEE03x Rx d 1 BF 
31178.026700 1 18FEEE03x Rx d 1 C0 
31179.050700 1 18FEEE03x Rx d 1 C1 
31180.049100 1 18FEEE03x Rx d 1 C2 
31181.047500 1 18FEEE03x Rx d 1 C3 
31182.045900 1 18FEEE03x Rx d 1 C4 
31183.044300 1 18FEEE03x Rx d 1 C5 
31184.068300 1 18FEEE03x Rx d 1 C6 
31185.066700 1 18FEEE03x Rx d 1 C7 
31186.065100 1 18FEEE03x Rx d 1 C8 
31187.063500 1 18FEEE03x Rx d 1 C9 
31188.061900 1 18FEEE03x Rx d 1 CA 
31189.060300 1 18FEEE03x Rx d 1 CB 
31190.058700 1 18FEEE03x Rx d 1 CC 
31191.057100 1 18FEEE03x Rx d 1 CD 
31192.081100 1 18FEEE03x Rx d 1 CE 
31193.079500 1 18FEEE03x Rx d 1 CF 
31194.077900 1 18FEEE03x Rx d 1 D0 
31195.076300 1 18FEEE03x Rx d 1 D1 
31196.074700 1 18FEEE03x Rx d 1 D2 
31197.073100 1 18FEEE03x Rx d 1 D3 
31198.071500 1 18FEEE03x Rx d 1 D4 
31199.069900 1 18FEEE03x Rx d 1 D5 
31200.068300 1 18FEEE03x Rx d 1 D6 
31201.092300 1 18FEEE03x Rx d 1 D7 
31202.090700 1 18FEEE03x Rx d 1 D8 
31203.089100 1 18FEEE03x Rx d 1 D9 
31204.087500 1 18FEEE03x Rx d 1 DA 
31205.085900 1 18FEEE03x Rx d 1 DB 
31206.084300 1 18FEEE03x Rx d 1 DC 
31207.082700 1 18FEEE03x Rx d 1 DD 
31208.081100 1 18FEEE03x Rx d 1 DE 
31209.079500 1 18FEEE03x Rx d 1 DF 
31210.103500 1 18FEEE03x Rx d 1 E0 
31211.101900 1 18FEEE03x Rx d 1 E1 
31212.100300 1 18FEEE03x Rx d 1 E2 
31213.098700 1 18FEEE03x Rx d 1 E3 
31214.097100 1 18FEEE03x Rx d 1 E4 
31215.095500 1 18FEEE03x Rx d 1 E5 
31216.093900 1 18FEEE03x Rx d 1 E6 
31217.092300 1 18FEEE03x Rx d 1 E7 
31218.090700 1 18FEEE03x Rx d 1 E8 
31219.114700 1 18FEEE03x Rx d 1 E9 
31220.113100 1 18FEEE03x Rx d 1 EA 
31221.111500 1 18FEEE03x Rx d 1 EB 
31222.109900 1 18FEEE03x Rx d 1 EC 
31223.108300 1 18FEEE03x Rx d 1 ED 
31224.106700 1 18FEEE03x Rx d 1 EE 
31225.105100 1 18FEEE03x Rx d 1 EF 
31226.103500 1 18FEEE03x Rx d 1 F0 
31227.101900 1 18FEEE03x Rx d 1 F1 
31228.125900 1 18FEEE03x Rx d 1 F2 
31229.124300 1 18FEEE03x Rx d 1 F3 
31230.122700 1 18FEEE03x Rx d 1 F4 
31231.121100 1 18FEEE03x Rx d 1 F5 
31232.119500 1 18FEEE03x Rx d 1 F6 
31233.117900 1 18FEEE03x Rx d 1 F7 
31234.141900 1 18FEEE03x Rx d 1 F8 
31235.140300 1 18FEEE03x Rx d 1 F9 
31236.138700 1 18FEEE03x Rx d 1 FA 
31237.137100 1 18FEEE03x Rx d 1 FB 
31238.135500 1 18FEEE03x Rx d 1 FC 
31239.133900 1 18FEEE03x Rx d 1 FD 
31240.132300 1 18FEEE03x Rx d 1 FE 
31241.130700 1 18FEEE03x Rx d 1 FF 
31242.154700 1 18FEEE03x Rx d 1 00 
31243.153100 1 18FEEE03x Rx d 1 01 
31244.151500 1 18FEEE03x Rx d 1 02 
31245.149900 1 18FEEE03x Rx d 1 03 
31246.173900 1 18FEEE03x Rx d 1 04 
31247.172300 1 18FEEE03x Rx d 1 05 
31248.170700 1 18FEEE03x Rx d 1 06 
End TriggerBlock

